family,noise,method,n,mean_diff,sd_diff,ci_lo,ci_hi,p_wilcoxon,p_ttest,median_diff,mean_abs_disagreement,abs_ci_lo,abs_ci_hi,median_abs,p_adj_BH,significant_BH_0.05
F1,dev_algiers,rem,180,-0.0007696497387926179,0.007601130918019346,-0.001835557475532578,0.0004068774187583093,0.03942148726743834,0.1760230409982213,-0.00025857140741392115,0.005687539497865513,0.004970071513089752,0.006464591929309431,0.0045520992381009595,0.03942148726743834,True
F1,dev_algiers,zne,180,0.39685690882458097,0.25393842739198036,0.3599959394478304,0.43340601993793854,6.24305129817205e-30,4.422031228783247e-50,0.41250000348455096,0.40509636939156624,0.36965843818230915,0.4403955632122089,0.41250000348455096,1.872915389451615e-29,True
F1,dev_algiers,zne_rem,180,0.4549996356156186,0.2567077025382383,0.4170648544941572,0.4927479285434561,6.846992380689346e-31,2.712680404596858e-57,0.4852364765634789,0.4586631179756807,0.42157409838834564,0.49461402966494344,0.4852364765634789,4.108195428413608e-30,True
F1,dev_lagos,rem,180,-0.2714962056916436,0.4521021542106199,-0.33311648575499747,-0.2022752959242677,2.3567648807779162e-15,1.06883028888746e-13,-0.3498564768270669,0.4359978528896919,0.3957627604848616,0.48095745108299115,0.398193802615332,3.5351473211668743e-15,True
F1,dev_lagos,zne,180,-0.1340829861111101,0.09359347240834028,-0.1477190673451354,-0.12041490301434514,2.2226071157141353e-29,2.1814855258806835e-45,-0.13274999999999748,0.1386100694444431,0.12667914701513328,0.1517328420946672,0.13274999999999748,4.4452142314282706e-29,True
F1,dev_lagos,zne_rem,180,-0.4281373451697462,0.6710825352415293,-0.5195732521625409,-0.32515627590214485,6.265170337853282e-14,5.036268021430575e-15,-0.4928678855528428,0.6763617944792646,0.6180888083313542,0.7398080330989218,0.5927818537440483,7.518204405423937e-14,True
