noise,n_cells,n_flipped,flip_rate,mean_regret,median_regret,max_regret,mean_regret_flipped,median_regret_flipped,max_regret_flipped,mean_true_err_best
dev_algiers,180.0,166.0,0.9222222222222223,0.11106414267615637,0.11431069745730493,0.26103336550760226,0.12043099808257919,0.11945232591045007,0.26103336550760226,0.04480761161471071
dev_lagos,180.0,107.0,0.5944444444444444,0.2010007943733719,0.11082494427126277,1.1638215989661465,0.33813217745053215,0.31085697787014777,1.1638215989661465,0.7115774431611089
ALL,360.0,273.0,0.7583333333333333,0.15603246852476413,0.11431069745730493,1.1638215989661465,0.20575710135133735,0.1530420387186906,1.1638215989661465,0.37819252738790987
