task,noise,method,n_seeds,mean_abs_error,std,ci_lo,ci_hi,mean_shots,mean_execs,mean_wall_clock_s,mean_evals,mean_calibration_shots,mean_circuit_shots
qaoa_p1,dev_lagos,none,5,0.004553465746792895,0.003819670142826373,0.0019714657467929443,0.007830465746792825,243000.0,81.0,135.09159432498274,81.0,0.0,243000.0
qaoa_p1,dev_lagos,rem,5,0.05271546574679338,0.07681396134492731,0.007681465746793492,0.1220164657467933,243600.0,93.0,126.28201003903523,81.0,600.0,243000.0
qaoa_p1,dev_lagos,zne,5,0.02356046574679329,0.015871591208823553,0.011392465746793156,0.03572846574679343,243000.0,243.0,244.63463512337768,81.0,0.0,243000.0
qaoa_p1,dev_lagos,zne_rem,5,0.7668884657467931,0.8244475287912503,0.1414564657467933,1.392320465746793,243600.0,255.0,253.43087086519228,81.0,600.0,243000.0
tfim,dev_lagos,none,5,3.089082776344384,1.261771697463531,2.170650776344384,4.132822776344384,243000.0,162.0,197.9953765650047,81.0,0.0,243000.0
tfim,dev_lagos,rem,5,2.884362776344384,1.3083183151358846,1.9822667763443846,3.9745787763443845,243600.0,170.0,156.94122533579358,81.0,600.0,243000.0
tfim,dev_lagos,zne,5,3.1337867763443845,0.6742468751725883,2.631322176344385,3.7156787763443844,243000.0,486.0,371.67193745821714,81.0,0.0,243000.0
tfim,dev_lagos,zne_rem,5,4.276698776344384,0.8806497497416323,3.647218776344384,4.997190776344384,243600.0,494.0,351.01099011960906,81.0,600.0,243000.0
