task,noise,budget,method,verdict,mean_err,base_err,ratio
qaoa_p1,param_lam1,1500,zne,inconclusive,0.19317797259743869,0.28248913241345974,0.6838421391542153
qaoa_p1,param_lam1,1500,zne_rem,helps,0.18436849085836426,0.28248913241345974,0.6526569333241354
qaoa_p1,param_lam1,3000,rem,helps,0.1025353622506449,0.2894224657467931,0.35427575390899324
qaoa_p1,param_lam1,3000,zne,helps,0.19292246574679703,0.2894224657467931,0.6665773689993334
qaoa_p1,param_lam1,3000,zne_rem,helps,0.15392417039647865,0.2894224657467931,0.5318321437118231
qaoa_p1,param_lam1,6000,rem,helps,0.17979675716812035,0.2814557990801266,0.6388099223954334
qaoa_p1,param_lam1,6000,zne,helps,0.16242797259743913,0.2814557990801266,0.5770993993667834
qaoa_p1,param_lam1,6000,zne_rem,helps,0.08374379962915794,0.2814557990801266,0.29753801450478284
qaoa_p1,param_lam1,12000,rem,helps,0.18495708103391947,0.2847141324134599,0.6496238155306112
qaoa_p1,param_lam1,12000,zne,helps,0.17189746574679887,0.2847141324134599,0.60375459514307
qaoa_p1,param_lam1,12000,zne_rem,helps,0.07742003741504604,0.2847141324134599,0.2719220038667318
qaoa_p1,param_lam1,24000,rem,helps,0.18063168009025227,0.28797663241345983,0.6272442266458341
qaoa_p1,param_lam1,24000,zne,helps,0.1755724657467977,0.28797663241345983,0.609676084741213
qaoa_p1,param_lam1,24000,zne_rem,helps,0.06584311655298833,0.28797663241345983,0.22864048378222115
qaoa_p1,param_lam2,1500,rem,helps,0.21696460264792208,0.5062891324134597,0.42853892915627206
qaoa_p1,param_lam2,1500,zne,inconclusive,0.42562246574680007,0.5062891324134597,0.840670752140926
qaoa_p1,param_lam2,1500,zne_rem,helps,0.25148759885252003,0.5062891324134597,0.49672723104619854
qaoa_p1,param_lam2,3000,rem,helps,0.29626904286366473,0.5197891324134599,0.569979294272742
qaoa_p1,param_lam2,3000,zne,helps,0.3623224657467968,0.5197891324134599,0.6970566392269083
qaoa_p1,param_lam2,3000,zne_rem,helps,0.14923416965698744,0.5197891324134599,0.2871052131545546
qaoa_p1,param_lam2,6000,rem,helps,0.33871232561973824,0.5138724657467931,0.6591369419404468
qaoa_p1,param_lam2,6000,zne,helps,0.31942246574679595,0.5138724657467931,0.6215987176557325
qaoa_p1,param_lam2,6000,zne_rem,helps,0.14953346088840966,0.5138724657467931,0.29099333172307223
qaoa_p1,param_lam2,12000,rem,helps,0.33841759168213964,0.5146724657467932,0.6575397251747157
qaoa_p1,param_lam2,12000,zne,helps,0.31089746574679766,0.5146724657467932,0.6040685803847762
qaoa_p1,param_lam2,12000,zne_rem,helps,0.12728839252278162,0.5146724657467932,0.24731921949250835
qaoa_p1,param_lam2,24000,rem,helps,0.33520636493060724,0.5178849657467931,0.6472602741947485
qaoa_p1,param_lam2,24000,zne,helps,0.31977246574679724,0.5178849657467931,0.6174584838269701
qaoa_p1,param_lam2,24000,zne_rem,helps,0.10424190142937198,0.5178849657467931,0.201283891836973
tfim,dev_algiers,1500,rem,inconclusive,0.1407209078067151,0.17129744301105143,0.8215003407706228
tfim,dev_algiers,1500,zne,inconclusive,0.1253384658066336,0.17129744301105143,0.7317007399727926
tfim,dev_algiers,1500,zne_rem,inconclusive,0.12749675023256932,0.17129744301105143,0.7443003701131938
tfim,dev_algiers,3000,rem,helps,0.08862342993264063,0.18449744301105114,0.48035045085872663
tfim,dev_algiers,3000,zne,inconclusive,0.122584621075511,0.18449744301105114,0.6644244986537204
tfim,dev_algiers,3000,zne_rem,inconclusive,0.1375677197355321,0.18449744301105114,0.7456348309786168
tfim,dev_algiers,6000,rem,helps,0.09505106228377827,0.18056410967771788,0.5264117130111369
tfim,dev_algiers,6000,zne,helps,0.1220307763443893,0.18056410967771788,0.675830742677476
tfim,dev_algiers,6000,zne_rem,helps,0.08737608372271391,0.18056410967771788,0.4839061532143249
tfim,dev_algiers,12000,rem,helps,0.08292635220263778,0.17153077634438452,0.4834488245779608
tfim,dev_algiers,12000,zne,helps,0.1123307763443889,0.17153077634438452,0.6548724301163366
tfim,dev_algiers,12000,zne_rem,helps,0.05738417665110011,0.17153077634438452,0.3345415783339613
tfim,dev_algiers,24000,rem,helps,0.07077794925058187,0.1664307763443847,0.42526959739781256
tfim,dev_algiers,24000,zne,helps,0.11418077634438717,0.1664307763443847,0.6860556614127672
tfim,dev_algiers,24000,zne_rem,helps,0.04280727317092916,0.1664307763443847,0.25720767583485143
tfim,dev_lagos,1500,rem,inconclusive,1.8620640603741827,2.391297443011051,0.7786835827623044
tfim,dev_lagos,1500,zne,helps,1.8270307763443845,2.391297443011051,0.764033258047498
tfim,dev_lagos,1500,zne_rem,inconclusive,2.762362552478706,2.391297443011051,1.1551731301984836
tfim,dev_lagos,3000,rem,helps,1.480182963134729,2.3736974430110513,0.6235769295252334
tfim,dev_lagos,3000,zne,helps,1.7646307763443836,2.3736974430110513,0.7434101517613539
tfim,dev_lagos,3000,zne_rem,inconclusive,2.181495399965109,2.3736974430110513,0.9190284155161187
tfim,dev_lagos,6000,rem,helps,1.4252333308254426,2.3864974430110513,0.597207147654523
tfim,dev_lagos,6000,zne,helps,1.7214307763443852,2.3864974430110513,0.7213210227338231
tfim,dev_lagos,6000,zne_rem,inconclusive,1.623369212226001,2.3864974430110513,0.6802308617510149
tfim,dev_lagos,12000,rem,helps,0.9041933583108935,2.369697443011051,0.381564895964939
tfim,dev_lagos,12000,zne,helps,1.7504307763443845,2.369697443011051,0.7386726864676039
tfim,dev_lagos,12000,zne_rem,helps,0.9335240803374918,2.369697443011051,0.3939423081586785
tfim,dev_lagos,24000,rem,helps,0.8057017411655307,2.387897443011051,0.3374105297208955
tfim,dev_lagos,24000,zne,helps,1.6716807763443846,2.387897443011051,0.7000638914527487
tfim,dev_lagos,24000,zne_rem,helps,0.8357210091975424,2.387897443011051,0.3499819523839051
tfim,ideal,1500,rem,inconclusive,0.04366666666666674,0.04568717806445673,0.9557750886925126
tfim,ideal,1500,zne,inconclusive,0.04480000000000013,0.04568717806445673,0.9805814650402583
tfim,ideal,1500,zne_rem,inconclusive,0.05830768946224678,0.04568717806445673,1.2762374900893352
tfim,ideal,3000,rem,inconclusive,0.03602564387108727,0.029425643871087193,1.2242941574673596
tfim,ideal,3000,zne,inconclusive,0.04119999999999857,0.029425643871087193,1.4001392860083013
tfim,ideal,3000,zne_rem,harms,0.06634615526887541,0.029425643871087193,2.2547053026107364
tfim,ideal,6000,rem,inconclusive,0.016858977204420443,0.02047179913996384,0.8235220113853765
tfim,ideal,6000,zne,inconclusive,0.036199999999999656,0.02047179913996384,1.7682862044759
tfim,ideal,6000,zne_rem,inconclusive,0.043653844731120196,0.02047179913996384,2.1323892654799317
tfim,ideal,12000,rem,inconclusive,0.012721155268876938,0.012292310537753792,1.0348872353823164
tfim,ideal,12000,zne,inconclusive,0.02254615526887731,0.012292310537753792,1.8341674008015447
tfim,ideal,12000,zne_rem,harms,0.02694231053775553,0.012292310537753792,2.1918019769356376
tfim,ideal,24000,rem,inconclusive,0.011554488602210177,0.011212821935543626,1.030471068623992
tfim,ideal,24000,zne,inconclusive,0.012988465806633532,0.011212821935543626,1.1583583402373738
tfim,ideal,24000,zne_rem,inconclusive,0.01922596580663285,0.011212821935543626,1.7146411418242793
tfim,param_lam0.5,1500,rem,inconclusive,0.15156052349956645,0.20676410967771774,0.7330117578713401
tfim,param_lam0.5,1500,zne,inconclusive,0.13743077634438733,0.20676410967771774,0.6646742346077374
tfim,param_lam0.5,1500,zne_rem,inconclusive,0.11472064506613053,0.20676410967771774,0.5548382900927297
tfim,param_lam0.5,3000,rem,helps,0.10258503426843273,0.213964109677718,0.47944972838178673
tfim,param_lam0.5,3000,zne,inconclusive,0.17263077634438737,0.213964109677718,0.8068211841902425
tfim,param_lam0.5,3000,zne_rem,helps,0.1297815672390798,0.213964109677718,0.6065576485447134
tfim,param_lam0.5,6000,rem,helps,0.10715916919172441,0.2151641096777178,0.49803459021224356
tfim,param_lam0.5,6000,zne,inconclusive,0.17063077634438875,0.2151641096777178,0.7930262003266576
tfim,param_lam0.5,6000,zne_rem,helps,0.09174830794391511,0.2151641096777178,0.4264108362744128
tfim,param_lam0.5,12000,rem,helps,0.08878160738011873,0.20476410967771796,0.433579925309439
tfim,param_lam0.5,12000,zne,helps,0.16283077634438925,0.20476410967771796,0.7952115075277187
tfim,param_lam0.5,12000,zne_rem,helps,0.06733253482472863,0.20476410967771796,0.3288297687065598
tfim,param_lam0.5,24000,rem,helps,0.07710672610190468,0.198197443011051,0.38903996404033026
tfim,param_lam0.5,24000,zne,helps,0.16238077634438824,0.198197443011051,0.8192879478033139
tfim,param_lam0.5,24000,zne_rem,helps,0.045518312064192476,0.198197443011051,0.22966144957609008
tfim,param_lam1,1500,rem,helps,0.22591391216158635,0.38996410967771783,0.5793197541904325
tfim,param_lam1,1500,zne,inconclusive,0.2734307763443888,0.38996410967771783,0.7011690808427552
tfim,param_lam1,1500,zne_rem,helps,0.1404648028706263,0.38996410967771783,0.3601993090767048
tfim,param_lam1,3000,rem,helps,0.1883447526588932,0.38943077634438455,0.4836411606368128
tfim,param_lam1,3000,zne,helps,0.29703077634438796,0.38943077634438455,0.762730617062775
tfim,param_lam1,3000,zne_rem,helps,0.15738523107918131,0.38943077634438455,0.4041417387618105
tfim,param_lam1,6000,rem,helps,0.17130478195644755,0.4044307763443845,0.42357009400930595
tfim,param_lam1,6000,zne,helps,0.2730307763443857,0.4044307763443845,0.6750989101578464
tfim,param_lam1,6000,zne_rem,helps,0.07767795714032788,0.4044307763443845,0.19206737390871276
tfim,param_lam1,12000,rem,helps,0.16263657827061237,0.39893077634438445,0.4076812016383848
tfim,param_lam1,12000,zne,helps,0.2889307763443897,0.39893077634438445,0.7242629385278733
tfim,param_lam1,12000,zne_rem,helps,0.068300450664597,0.39893077634438445,0.17120877784980762
tfim,param_lam1,24000,rem,helps,0.14471809786544387,0.39118077634438475,0.3699519675221414
tfim,param_lam1,24000,zne,helps,0.29218077634438877,0.39118077634438475,0.7469200789334313
tfim,param_lam1,24000,zne_rem,helps,0.043077490642766406,0.39118077634438475,0.11012169627896584
tfim,param_lam2,1500,rem,helps,0.4316629783908505,0.7518307763443844,0.5741491196858407
tfim,param_lam2,1500,zne,helps,0.5630307763443885,0.7518307763443844,0.7488796602368483
tfim,param_lam2,1500,zne_rem,helps,0.23673323548605785,0.7518307763443844,0.3148756913585293
tfim,param_lam2,3000,rem,helps,0.33169265007351234,0.7419641096777179,0.44704675839049346
tfim,param_lam2,3000,zne,helps,0.6114307763443853,0.7419641096777179,0.8240705559329122
tfim,param_lam2,3000,zne_rem,helps,0.26455205530152437,0.7419641096777179,0.3565564046169782
tfim,param_lam2,6000,rem,helps,0.28937722492346163,0.7640307763443845,0.3787507439268726
tfim,param_lam2,6000,zne,helps,0.5534307763443873,0.7640307763443845,0.7243566535269125
tfim,param_lam2,6000,zne_rem,helps,0.09309684961105429,0.7640307763443845,0.1218496067088941
tfim,param_lam2,12000,rem,helps,0.29471364456705224,0.7652974430110512,0.3850968630020582
tfim,param_lam2,12000,zne,helps,0.5532307763443859,0.7652974430110512,0.7228964128871355
tfim,param_lam2,12000,zne_rem,helps,0.1158625167947008,0.7652974430110512,0.15139540560705586
tfim,param_lam2,24000,rem,helps,0.2918812680491797,0.7556641096777179,0.38625794756040976
tfim,param_lam2,24000,zne,helps,0.5636307763443875,0.7556641096777179,0.7458747466315022
tfim,param_lam2,24000,zne_rem,helps,0.10163639608531953,0.7556641096777179,0.13449943537568074
