impl,noise,method,bias_norm,bias_lo,bias_hi,sd_norm,rmse_norm
v2,dev_algiers,none,-0.031091419891283428,-0.031475664820736694,-0.030701360643047095,0.0021965146385446617,0.03124817934084251
legacy,dev_algiers,rem,-0.026079776721522684,-0.026757243129729588,-0.025404776210621705,0.0033272365383413133,0.026316361296174685
v2,dev_algiers,rem,-0.02608726841835199,-0.026795201203117982,-0.02538531172398956,0.0034282707926398715,0.026342430767919898
legacy,dev_algiers,zne,0.06550803572640052,0.06269852391370516,0.06840180422425104,0.015412328664900672,0.07019302284149086
v2,dev_algiers,zne,-0.006028631541516233,-0.0077539868242543246,-0.004375885517285855,0.00907228350714188,0.011134945083938643
legacy,dev_algiers,zne_rem,0.08384405339957969,0.08045045958898249,0.08721842314025915,0.01676032362576321,0.08625861323225585
v2,dev_algiers,zne_rem,-0.0015582815777946905,-0.0038958215299744105,0.0007459366714128734,0.011487779489107262,0.011533832716118152
v2,dev_lagos,none,-0.14270229400944923,-0.1432614466218831,-0.14212471850239453,0.0032347247093882283,0.14407992854184104
legacy,dev_lagos,rem,-0.09104890852392937,-0.10113361418528982,-0.08187634489778008,0.054722155006343705,0.10646826482691277
v2,dev_lagos,rem,-0.13397935367072908,-0.14081609648629645,-0.12761139983528988,0.03770854652604893,0.1397432355798185
legacy,dev_lagos,zne,-0.11034275848806507,-0.11230960150435143,-0.10834696969424892,0.011269161703719196,0.11156580272269313
v2,dev_lagos,zne,-0.12491287877576343,-0.12677522665936125,-0.12306975021053526,0.010489929056122572,0.12694703415555905
legacy,dev_lagos,zne_rem,-0.054293445892104567,-0.0711336442288347,-0.03834480539642246,0.09271749920237084,0.10733178667055181
v2,dev_lagos,zne_rem,-0.132214335357939,-0.14334762354496244,-0.12179852853749397,0.06092710673991479,0.14715223562567614
