instance,noise,seed,cmax,win_legacy3,win_v2_3,flip3,win_legacy4,win_v2_4,flip4,gap_top2_v2_norm,regret_split_legacy_norm,regret_split_v2_norm,same_sample_discrepancy_norm
cycle6,dev_algiers,0,6,rem,zne,True,rem,zne,True,8.901343358994988e-05,0.026100017130215925,0.02800559568988792,0.021499043887768316
cycle6,dev_algiers,1,6,rem,zne,True,rem,zne,True,0.006955968536163315,0.028701003751984366,0.0031869163548109056,0.0243562052760334
cycle6,dev_algiers,2,6,rem,zne,True,rem,zne,True,0.020917737188502688,0.02148786209974259,0.0,0.020917737188502688
cycle6,dev_algiers,3,6,rem,zne_rem,True,rem,zne_rem,True,0.002362227661144948,0.02282774704486575,0.0,0.01927803417029687
cycle6,dev_algiers,4,6,rem,zne,True,rem,zne,True,0.0035781418646341954,0.012405762058551742,0.0,0.0071389557200117375
cycle6,dev_algiers,5,6,rem,zne_rem,True,rem,zne_rem,True,0.0001894563462146633,0.0164984065044389,0.0,0.013557874799454694
cycle6,dev_algiers,6,6,rem,zne_rem,True,rem,zne_rem,True,0.019075604979365373,0.026279147555454536,0.004709547827747833,0.019147630063407767
cycle6,dev_algiers,7,6,rem,zne_rem,True,rem,zne_rem,True,0.005433527941685501,0.013505461643177638,0.0,0.02216098083934052
cycle6,dev_algiers,8,6,rem,zne,True,rem,zne,True,0.0009098811462268467,0.023189256813552994,0.005583227138566442,0.01798955742163984
cycle6,dev_algiers,9,6,rem,zne_rem,True,rem,zne_rem,True,0.014736001825804331,0.014405510361681658,0.0,0.014736001825804331
cycle6,dev_algiers,10,6,rem,zne_rem,True,rem,zne_rem,True,0.0021114986547659718,0.01784282050858188,0.019776011935336513,0.02043542837374727
cycle6,dev_algiers,11,6,rem,zne_rem,True,rem,zne_rem,True,0.011384895202746955,0.011630735598892864,0.013188687005222022,0.020888068561445206
cycle6,dev_algiers,12,6,rem,zne_rem,True,rem,zne_rem,True,0.01175270300173,0.018796381325973794,0.0,0.024362011724944566
cycle6,dev_algiers,13,6,rem,zne_rem,True,rem,zne_rem,True,0.013696379442374488,0.024569716976958606,0.0,0.021044941400806188
cycle6,dev_algiers,14,6,rem,zne_rem,True,rem,zne_rem,True,0.009448925869324665,0.010429833363983398,0.0,0.02257698995391196
