noise,method,n_cells,n_instances,mean_d_abs_norm,ci_lo,ci_hi,cluster_lo,cluster_hi,mean_absolute_d_abs_norm,directionality,mean_d_est_norm,d_est_lo,d_est_hi,p_wilcoxon,p_adj_BH,significant_BH_0.05
dev_algiers,rem,90,3,-7.491696829308841e-06,-0.00020282142694991696,0.00018207527644779225,-0.00012209089882034787,0.00015547838562021744,0.0007050790373314433,0.01062532912290675,7.491696829308841e-06,-0.00017974881479904662,0.00019775028816894374,0.9939232099809034,0.9939232099809034,False
dev_algiers,zne,101,4,0.05682473849763668,0.053464178912026726,0.060185113111256336,0.037016857961695376,0.07415267584755876,0.05682473849763668,1.0,0.07153666726791676,0.06916223616372007,0.07391552162247418,2.6651409486700556e-18,1.2841722486590989e-17,True
dev_algiers,zne_rem,90,3,0.07480698267920756,0.07090832060308515,0.0785781098732621,0.06443545795811322,0.09318539832523709,0.07480698267920756,1.0,0.08540233497737441,0.08221507992345639,0.08858388513950405,1.7437900167092118e-16,3.4875800334184237e-16,True
dev_lagos,rem,120,4,-0.042930445146799716,-0.054524757647310323,-0.03130238346045737,-0.05523981373791879,-0.032397327546866396,0.06564984041947372,0.6539306854745264,0.042930445146799716,0.03123850539947597,0.054341763462212485,2.5394056746511226e-10,3.809108511976684e-10,True
dev_lagos,zne,120,4,-0.014570120287698374,-0.01584722506407072,-0.013305074973131534,-0.022908184523809355,-0.005194835069444537,0.01560546254960309,0.933655137833063,0.014570120287698374,0.013285530908978178,0.015851720920138843,4.280574162196996e-18,1.2841722486590989e-17,True
dev_lagos,zne_rem,120,4,-0.059367427015205525,-0.07627710981306222,-0.04184485729163143,-0.07772535126844701,-0.03628278568940823,0.0957211693160078,0.6202120956046167,0.07792088946583442,0.05924952812753195,0.0962844064102702,1.2338931308010422e-09,1.4806717569612505e-09,True
