noise,n,flip_rate_3mitigated,flip_rate_incl_unmitigated,near_tie_rate_lt_1pct,median_gap_top2_norm,split_regret_legacy,slo,shi,split_regret_v2,vlo,vhi,excess_regret_from_defect,mean_same_sample_discrepancy
dev_algiers,90,1.0,1.0,0.7222222222222222,0.00660071320892917,0.020692302501012807,0.01936249943378874,0.021940652468735777,0.004440053179819315,0.0031082637864394513,0.00586392330751694,0.016252249321193492,0.02034282748343142
dev_lagos,120,0.6,0.6,0.3,0.018249293226540016,0.02772839987895183,0.020730814078850062,0.03607204109740629,0.027553302698685715,0.020936665500478447,0.03564521649130054,0.0001750971802661136,0.03350050775404064
ALL,210,0.7714285714285715,0.7714285714285715,0.48095238095238096,0.010493099089912321,0.024712929574120815,,,0.01764762433345726,,,0.007065305240663556,0.027861501923779546
