instance,noise,seed,cmax,delta_heldout__mitigated_only,win_legacy__mitigated_only,win_v2__mitigated_only,changed__mitigated_only,gap__mitigated_only,tie_practical__mitigated_only,tie_statistical__mitigated_only,mc_scale__mitigated_only,delta_heldout__incl_unmitigated,win_legacy__incl_unmitigated,win_v2__incl_unmitigated,changed__incl_unmitigated,gap__incl_unmitigated,tie_practical__incl_unmitigated,tie_statistical__incl_unmitigated,mc_scale__incl_unmitigated
cycle6,dev_algiers,0,6,0.0027241417430350356,rem,zne_rem,True,0.0022788220261459203,True,True,0.00617596838769003,0.0027241417430350356,rem,zne_rem,True,0.0022788220261459203,True,True,0.005194281434161152
cycle6,dev_algiers,1,6,0.004228539947075074,rem,zne_rem,True,0.001498140356656346,True,True,0.00617596838769003,0.004228539947075074,rem,zne_rem,True,0.001498140356656346,True,True,0.005194281434161152
cycle6,dev_algiers,2,6,0.003315652962684299,rem,zne_rem,True,0.00016797917862248409,True,True,0.00617596838769003,0.003315652962684299,rem,zne_rem,True,0.00016797917862248409,True,True,0.005194281434161152
cycle6,dev_algiers,3,6,0.003428992938406471,rem,zne_rem,True,0.0011345360492649198,True,True,0.00617596838769003,0.003428992938406471,rem,zne_rem,True,0.0011345360492649198,True,True,0.005194281434161152
cycle6,dev_algiers,4,6,0.003247506218615421,rem,zne,True,0.0008409392447582667,True,True,0.00617596838769003,0.003247506218615421,rem,zne,True,0.0008409392447582667,True,True,0.005194281434161152
cycle6,dev_algiers,5,6,0.002810997385232408,rem,zne_rem,True,0.0006886963961395173,True,True,0.00617596838769003,0.002810997385232408,rem,zne_rem,True,0.0006886963961395173,True,True,0.005194281434161152
cycle6,dev_algiers,6,6,0.0028773539091966585,rem,zne,True,0.003878159194590398,True,True,0.00617596838769003,0.0028773539091966585,rem,zne,True,0.003878159194590398,True,True,0.005194281434161152
cycle6,dev_algiers,7,6,-0.00041557639746366465,rem,zne,True,0.0012411278569681222,True,True,0.00617596838769003,-0.00041557639746366465,rem,zne,True,0.0012411278569681222,True,True,0.005194281434161152
cycle6,dev_algiers,8,6,0.002926312966454218,rem,zne,True,0.0026517480477649736,True,True,0.00617596838769003,0.002926312966454218,rem,zne,True,0.0026517480477649736,True,True,0.005194281434161152
cycle6,dev_algiers,9,6,0.0017399116101339818,rem,zne,True,0.0008148260273314181,True,True,0.00617596838769003,0.002406249999999894,none,zne,True,0.0008148260273314181,True,True,0.005194281434161152
