candidate_set,noise,n,delta_heldout,ci_lo,ci_hi,cluster_lo,cluster_hi,changed_rate,tie_practical_all,tie_practical_changed,tie_statistical_all,tie_statistical_changed,median_gap,delta_heldout_changed
mitigated_only,dev_algiers,180,0.0019107068865362323,0.001731686476981661,0.0020860876917831784,0.0013368275426782518,0.0024408953499474645,0.9277777777777778,1.0,1.0,1.0,1.0,0.0008466067434100629,0.002059444548362406
mitigated_only,dev_lagos,180,-0.0005215706633306328,-0.0016183429662900946,0.0006005510364610046,-0.0014406437539584247,0.0004924656802832752,0.6,0.9166666666666666,0.9259259259259259,1.0,1.0,0.0033115844993935506,-0.0008692844388843877
mitigated_only,ALL,360,0.0006945681116027996,0.00010280574002074629,0.0012698075232657777,0.00034902410957610174,0.0011287233976321818,0.7638888888888888,0.9583333333333334,0.9709090909090909,1.0,1.0,0.0015025300647817691,0.0009092528006436651
incl_unmitigated,dev_algiers,180,0.0019517492193535729,0.0017618537371313792,0.002136009921279991,0.0014096323346130101,0.0024487948624585935,0.9277777777777778,1.0,1.0,1.0,1.0,0.0008466067434100629,0.0021036817933152287
incl_unmitigated,dev_lagos,180,-0.0005010550066781233,-0.001624142770752912,0.0005983584899267112,-0.0014394041340673746,0.0004793345554855855,0.6,0.9277777777777778,0.9444444444444444,1.0,1.0,0.003196150069598333,-0.0008350916777968722
incl_unmitigated,ALL,360,0.0007253471063377246,0.00013870960562179218,0.001299935902186456,0.0003762432438392275,0.0011672664197448976,0.7638888888888888,0.9638888888888889,0.9781818181818182,1.0,1.0,0.0014436547987788325,0.0009495453028421123
